9,5,8,36,29,30,25
29,27,5,1,17,26,34
9,12,8,35,11,33,19
3,22,19,36,26,12,7
7,29,37,26,15,36,10
16,12,23,25,7,36,35
13,9,18,2,16,11,36
17,7,20,31,26,37,24
23,36,12,39,22,28,15
7,17,23,10,15,22,13
4,11,19,28,35,26,17
31,3,35,21,19,34,22
34,6,23,13,3,37,28
7,1,5,15,33,34,39
32,20,29,31,7,23,15
11,16,28,37,15,5,7
26,20,7,14,9,3,31
16,34,12,4,27,15,1
11,16,21,14,39,26,35
28,14,26,27,22,33,19
34,17,9,31,35,33,1
39,25,29,37,28,10,33
15,17,33,28,18,13,31
23,20,24,29,35,19,1
6,13,1,8,34,10,26
39,12,27,20,37,11,10
11,24,17,6,22,9,39
37,5,2,19,16,4,11
21,20,2,25,29,28,16
39,25,34,3,10,1,29
39,9,19,13,7,14,2
4,9,2,30,20,39,35
27,26,31,22,38,3,21
21,35,25,16,23,7,36
39,17,23,30,19,16,21
4,15,27,13,5,30,11
39,2,23,3,37,26,8
19,4,8,30,28,23,37
15,6,7,5,38,35,1
13,33,35,11,5,19,12
22,1,32,18,7,21,20
35,32,25,19,33,20,18
33,2,19,10,37,35,16
3,6,12,30,31,17,10
15,28,39,13,34,9,30
30,5,7,13,22,19,3
3,9,10,29,28,16,15
28,13,10,34,35,23,16
24,39,23,26,37,5,35
34,14,9,24,39,13,7
35,32,15,29,12,4,14
8,37,12,27,24,6,32
17,24,25,33,38,16,37
12,4,10,16,39,20,33
38,26,4,28,3,17,23
13,34,32,16,7,9,14
12,18,1,11,16,7,24
18,1,37,8,39,5,13
29,20,30,2,11,1,39
18,26,23,25,16,22,17
12,18,38,32,2,5,22
38,23,14,10,15,12,13
1,10,26,4,13,23,15
37,35,38,30,21,17,4
9,21,19,35,1,3,36
17,2,20,27,16,32,24
36,7,33,9,8,1,30
29,28,7,22,19,17,20
37,35,15,3,27,7,16
34,1,37,26,36,35,39
16,14,17,37,32,23,7
1,11,27,24,13,19,3
22,24,2,12,21,8,14
28,39,31,7,22,12,16
36,34,23,20,28,12,11
1,31,15,29,4,16,13
2,12,32,30,9,27,24
23,2,7,9,6,11,16
4,33,38,30,15,36,39
2,35,27,29,5,37,15
29,32,3,16,31,4,22
35,10,28,19,37,26,9
38,30,21,35,4,11,3
12,34,10,6,16,35,22
3,18,19,12,35,28,33
34,6,1,35,14,26,24
29,3,37,36,1,4,27
29,36,28,5,39,31,22
33,8,35,7,15,13,20
5,12,13,33,29,26,8
10,33,30,3,2,22,25
24,4,9,16,20,28,7
2,34,21,13,36,4,3
28,4,18,7,16,11,12
19,29,25,6,17,2,1
11,5,13,35,34,7,26
14,15,13,3,28,2,27
34,5,1,9,13,15,39
31,32,39,16,23,34,8
5,4,13,7,3,26,34
14,39,25,34,12,35,33
28,23,34,25,24,4,6
18,30,4,23,29,6,17
18,26,25,33,35,39,4
23,20,7,33,39,36,10
26,6,30,29,5,13,21
21,6,19,1,8,2,14
11,22,14,28,23,18,27
36,24,34,8,23,15,13
33,28,16,10,36,7,27
20,29,36,26,12,39,30
30,24,37,19,35,5,27
39,21,14,9,11,6,19
7,1,8,9,22,31,24
3,33,4,31,20,19,30
11,34,38,24,14,12,33
14,11,8,18,37,33,17
32,5,17,1,3,39,2
15,7,35,11,2,14,28
2,35,15,8,20,31,1
29,37,26,9,8,22,14
21,6,17,15,38,4,11
39,36,27,31,30,11,26
27,16,3,33,6,31,34
22,20,11,26,5,1,12
14,3,33,9,17,15,16
35,33,21,39,2,38,25
17,39,20,28,9,14,23
2,39,20,23,9,31,6
3,22,12,4,18,36,13
37,31,27,32,20,30,12
31,4,9,21,1,7,14
17,20,22,18,6,12,15
14,36,33,32,19,10,13
34,6,9,31,37,28,36
30,34,33,22,9,6,11
31,26,14,9,8,39,15
37,13,8,31,3,15,19
17,15,39,31,9,2,18
3,8,17,30,29,5,1
28,15,22,14,30,32,16
22,14,8,29,21,30,2
1,39,26,8,33,20,7
19,27,11,12,35,4,10
39,22,31,16,38,3,10
10,16,18,25,13,12,21
7,5,29,31,24,15,30
27,19,14,9,6,28,21
38,14,31,36,11,30,24
25,5,34,33,18,2,24
26,9,25,20,27,17,11
3,20,4,37,8,36,15
10,19,38,8,39,20,37
29,13,39,25,20,28,15
28,9,15,10,23,11,24
3,34,18,8,7,9,6
33,3,18,7,14,27,39
2,37,23,33,35,13,21
29,22,39,2,30,24,35
18,3,9,37,36,26,6
5,8,39,10,38,9,3
33,37,4,24,17,36,34
23,31,2,17,28,39,11
34,29,39,16,19,10,24
33,24,6,27,11,12,16
21,13,23,31,27,20,6
23,20,14,27,36,3,22
34,33,17,21,38,5,35
15,39,1,23,38,3,26
12,24,7,2,6,4,26
17,19,15,23,35,20,34
27,30,29,26,4,37,16
34,2,9,1,27,31,4
18,19,15,33,2,26,9
